transaction_id,timestamp,sender_upi,receiver_upi,amount,transaction_type,location,device_type,transaction_status,label
KAG013865,15-05-2025 07:52,newmanbeth@okhdfc,alexanderhaney@ybl,47698.62,merchant,Kolkata,iOS,SUCCESS,1
KAG041956,21-04-2025 03:24,tylerjeffery@okicici,rose52@fraudlink,20971.47,peer-to-peer,Bangalore,Android,SUCCESS,1
KAG233640,29-09-2025 08:45,amorrison@okaxis,evan46@okhdfc,29994.79,peer-to-peer,Pune,Android,SUCCESS,1
KAG137428,12-06-2025 08:37,ann73@upi,dgill@paytm,32848.5,recharge,Bangalore,Android,SUCCESS,1
KAG131750,12-05-2025 05:17,ryanmartinez@okaxis,joanna62@okicici,36752.08,merchant,Kolkata,Android,FAILED,1
KAG000796,13-08-2025 09:43,cmckinney@upi,kristenallen@fraudlink,28455.55,merchant,Bangalore,iOS,SUCCESS,1
KAG066044,13-05-2025 05:56,philip92@okicici,juliekelly@fraudlink,6638.05,merchant,Pune,Android,SUCCESS,1
KAG102415,18-08-2025 10:39,shariholden@okaxis,pamelamoore@fraudlink,26836.87,peer-to-peer,Mumbai,Android,SUCCESS,1
KAG225252,22-05-2025 05:50,marissa17@okaxis,ctrevino@fraudlink,9932.06,peer-to-peer,Chennai,Android,SUCCESS,1
KAG030335,14-12-2024 18:19,jennifercoffey@oksbi,lauren48@ybl,42581.26,merchant,Chennai,Android,SUCCESS,1
KAG027824,24-05-2025 09:52,jessicadiaz@okhdfc,juanrivera@fraudlink,36819.07,peer-to-peer,Noida,Android,SUCCESS,1
KAG009331,27-06-2025 07:09,lhorne@okicici,floresjeffery@oksbi,14539.45,merchant,Noida,Android,SUCCESS,1
KAG031288,18-09-2025 09:58,tracie66@okhdfc,ybarnes@fraudlink,37459.56,merchant,Delhi,Android,SUCCESS,1
KAG247401,21-07-2025 08:45,ohernandez@upi,tammymiller@fraudlink,17038.77,merchant,Chennai,Android,SUCCESS,1
KAG165805,21-05-2025 08:19,hallheather@okhdfc,johnsonjames@okicici,49005.49,merchant,Mumbai,iOS,SUCCESS,1
KAG084683,15-09-2025 05:31,aberger@okaxis,joe35@fraudlink,22657.11,peer-to-peer,Bangalore,Web,SUCCESS,1
KAG061298,23-04-2025 05:58,zpineda@okicici,pdavis@fraudlink,35739.56,peer-to-peer,Hyderabad,Android,SUCCESS,1
KAG236273,22-05-2025 10:24,crosales@ybl,ramirezbrittany@fraudlink,39233.51,peer-to-peer,Hyderabad,Android,FAILED,1
KAG207791,17-06-2025 04:24,richard47@upi,monica38@fraudlink,45158.55,merchant,Chennai,Android,SUCCESS,1
KAG202661,11-07-2025 11:10,dickersonjennifer@upi,trevinogregory@fraudlink,15251.72,peer-to-peer,Hyderabad,Android,SUCCESS,1
KAG032396,24-09-2025 06:10,tiffany27@okicici,weaverchristopher@okicici,21171.31,bill payment,Delhi,Android,SUCCESS,1
KAG069341,03-09-2025 09:22,robinsongloria@ybl,johnrodriguez@oksbi,48170.83,merchant,Delhi,Android,SUCCESS,1
KAG147895,13-06-2025 08:20,shannon78@okaxis,klinerhonda@fraudlink,5441.02,bill payment,Delhi,Android,SUCCESS,1
KAG127936,03-07-2024 07:28,panderson@okaxis,jodi40@fraudlink,6135.94,merchant,Bangalore,Android,SUCCESS,1
KAG194168,19-09-2024 09:46,petersonadam@okhdfc,carterdavid@fraudlink,7374.74,merchant,Noida,Android,SUCCESS,1
KAG234030,07-08-2025 04:48,bradleygonzalez@okaxis,danieltownsend@fraudlink,21182.2,merchant,Chennai,Android,SUCCESS,1
KAG134657,13-10-2025 11:01,xavier20@okaxis,pricelisa@okaxis,22286.73,peer-to-peer,Chennai,Android,SUCCESS,1
KAG131501,10-07-2025 05:26,jordanjessica@upi,traceyaustin@fraudlink,43054.39,peer-to-peer,Bangalore,Android,SUCCESS,1
KAG191440,15-07-2025 07:25,swansonryan@paytm,unorman@fraudlink,44235.16,merchant,Mumbai,Android,SUCCESS,1
KAG163201,13-07-2025 03:26,arodriguez@okicici,christopher56@ybl,35284.32,merchant,Pune,Android,SUCCESS,1
KAG210271,28-07-2024 08:15,melissataylor@paytm,rdonovan@oksbi,15952.63,recharge,Chennai,Android,SUCCESS,1
KAG031907,11-10-2025 06:05,gthomas@okicici,iadams@okicici,34125.88,bill payment,Noida,Android,SUCCESS,1
KAG234432,26-04-2025 05:33,scottroberson@okicici,ukhan@fraudlink,45519.04,merchant,Mumbai,Android,SUCCESS,1
KAG241568,07-08-2024 20:55,susanmcgee@ybl,phillipcarpenter@okicici,33987.55,peer-to-peer,Hyderabad,iOS,SUCCESS,1
KAG236190,05-06-2025 10:54,osingh@okicici,lindamiller@fraudlink,16371.11,merchant,Bangalore,Android,SUCCESS,1
KAG116611,14-07-2025 09:39,virginia00@okaxis,carterkayla@fraudlink,31154.15,recharge,Bangalore,Android,SUCCESS,1
KAG116518,25-08-2025 09:23,seth92@ybl,vbennett@fraudlink,44189.03,merchant,Chennai,Android,SUCCESS,1
KAG200443,07-05-2025 04:12,batessteve@okhdfc,xflores@upi,49894.8,bill payment,Chennai,Android,SUCCESS,1
KAG030036,06-10-2025 10:12,denise10@okhdfc,christophermartinez@paytm,32381.02,peer-to-peer,Pune,Android,SUCCESS,1
KAG092353,02-10-2025 04:11,allenbrian@paytm,brucesanders@oksbi,28312.07,peer-to-peer,Mumbai,Android,SUCCESS,1
KAG207294,27-08-2025 06:24,nicoleroberts@okhdfc,sramos@fraudlink,38106.65,peer-to-peer,Mumbai,Android,SUCCESS,1
KAG078037,28-06-2025 04:15,umontgomery@okaxis,joseph12@fraudlink,42768.55,peer-to-peer,Hyderabad,Android,SUCCESS,1
KAG114738,20-08-2025 04:46,dtorres@okicici,amy89@fraudlink,30997.64,merchant,Noida,Android,SUCCESS,1
KAG188785,13-08-2025 10:31,judy27@paytm,nicolefleming@okhdfc,14246.3,bill payment,Delhi,Android,SUCCESS,1
KAG142105,15-06-2025 03:12,lsoto@upi,kimberlystephens@okhdfc,27826.8,recharge,Pune,Android,FAILED,1
KAG168689,14-08-2025 06:21,rsanchez@upi,colemantodd@fraudlink,45047.42,merchant,Delhi,Android,SUCCESS,1
KAG130525,19-09-2025 08:31,smithnathan@ybl,wilkinsonerica@fraudlink,15210.85,peer-to-peer,Noida,iOS,SUCCESS,1
KAG187434,30-04-2025 07:31,robertstabitha@oksbi,emily10@okaxis,15658.12,peer-to-peer,Mumbai,iOS,SUCCESS,1
KAG237593,11-05-2025 06:52,joneswilliam@okaxis,sara11@fraudlink,22664.08,peer-to-peer,Mumbai,Android,SUCCESS,1
KAG029510,05-06-2025 04:38,david04@oksbi,mhobbs@upi,33263.88,peer-to-peer,Mumbai,Android,SUCCESS,1
KAG065627,18-06-2025 10:29,ggarrett@paytm,fnorton@okicici,13483.27,peer-to-peer,Kolkata,iOS,SUCCESS,1
KAG070902,09-06-2025 05:06,johnsontyler@ybl,smithalyssa@okicici,36772.33,peer-to-peer,Noida,Android,SUCCESS,1
KAG152910,23-06-2025 09:15,armstrongkimberly@ybl,wwright@fraudlink,13929.77,merchant,Mumbai,Android,SUCCESS,1
KAG081757,05-11-2024 18:24,kingsarah@paytm,kimberly57@okaxis,25778.27,merchant,Hyderabad,Android,SUCCESS,1
KAG113811,01-05-2025 04:51,drewmelendez@oksbi,williamsjoshua@oksbi,28020.06,recharge,Kolkata,iOS,SUCCESS,1
KAG019860,06-05-2025 04:04,jenniferhardin@paytm,mario44@fraudlink,29117.93,merchant,Delhi,Android,SUCCESS,1
KAG235216,03-03-2024 16:34,cathy35@ybl,bryan37@upi,49751.77,peer-to-peer,Noida,Web,SUCCESS,1
KAG221214,26-05-2025 04:02,sydneybrooks@ybl,wintersrhonda@fraudlink,11150.51,bill payment,Hyderabad,Web,SUCCESS,1
KAG138378,13-06-2025 04:51,karenwhite@ybl,mooneyamber@fraudlink,36429.91,merchant,Delhi,iOS,SUCCESS,1
KAG048316,08-07-2024 10:54,rschaefer@oksbi,steven74@fraudlink,9629.17,peer-to-peer,Hyderabad,Android,SUCCESS,1
KAG122293,07-09-2024 21:53,qmcknight@oksbi,anthonyrhodes@fraudlink,46966.32,merchant,Bangalore,Android,SUCCESS,1
KAG195832,08-10-2025 10:29,neilowen@paytm,ryan84@fraudlink,31772.21,merchant,Kolkata,Android,SUCCESS,1
KAG022192,22-02-2024 19:38,scottleah@okicici,schultzisaiah@upi,45053.94,merchant,Delhi,Android,SUCCESS,1
KAG152573,09-06-2024 18:07,carolyn30@okaxis,jperez@fraudlink,17994.69,peer-to-peer,Hyderabad,Android,SUCCESS,1
KAG151907,01-07-2025 06:57,james42@okaxis,zochoa@oksbi,30502.17,peer-to-peer,Hyderabad,Android,SUCCESS,1
KAG076060,15-06-2025 10:28,cookjohn@okicici,williamgarcia@fraudlink,8681.84,bill payment,Noida,Android,SUCCESS,1
KAG093109,03-08-2025 04:31,adamsmatthew@paytm,guzmanjoseph@fraudlink,17626.57,recharge,Chennai,iOS,SUCCESS,1
KAG012234,16-08-2025 09:07,browningmark@ybl,jessica18@fraudlink,11661.34,recharge,Pune,Android,SUCCESS,1
KAG156327,26-07-2025 07:36,alexandria45@upi,alicia81@fraudlink,46340.05,merchant,Delhi,Android,SUCCESS,1
